Fichier,N,Temps_Naif_ms,Temps_Welzl_ms,Rayon_Naif,Rayon_Welzl,Speedup,Correct
test-488.points,256,92.6373,0.0409,199.0,199.0,2264.970660146699,true
test-489.points,256,75.8626,0.0335,199.0,199.0,2264.5552238805967,true
test-49.points,256,84.6391,0.0291,194.0,194.0,2908.5601374570447,true
test-490.points,256,92.2021,0.0389,196.0,196.0,2370.233933161954,true
test-491.points,256,82.0328,0.0503,198.0,198.0,1630.8707753479125,true
test-492.points,256,100.1079,0.0595,197.0,197.0,1682.4857142857143,true
test-493.points,256,76.1579,0.0375,198.0,198.0,2030.8773333333334,true
test-494.points,256,93.4877,0.0794,193.0,193.0,1177.426952141058,true
test-495.points,256,80.2111,0.049,198.0,198.0,1636.961224489796,true
test-496.points,256,96.4933,0.0383,199.0,199.0,2519.4073107049608,true
test-497.points,256,81.6146,0.0308,199.0,199.0,2649.824675324675,true
test-498.points,256,91.3124,0.0452,198.0,198.0,2020.1858407079646,true
test-499.points,256,79.5614,0.0448,198.0,198.0,1775.9241071428573,true
test-5.points,256,81.1352,0.074,198.0,198.0,1096.4216216216216,true
test-50.points,256,103.4466,0.0328,197.0,197.0,3153.859756097561,true
test-500.points,256,82.9746,0.0636,199.0,199.0,1304.632075471698,true
test-501.points,256,108.907,0.0475,199.0,199.0,2292.778947368421,true
test-502.points,256,75.5151,0.0528,196.0,196.0,1430.2102272727273,true
test-503.points,256,95.0542,0.0406,194.0,194.0,2341.2364532019706,true
test-504.points,256,95.0353,0.0386,199.0,199.0,2462.0544041450776,true
test-505.points,256,88.5385,0.031,194.0,194.0,2856.0806451612902,true
test-506.points,256,90.6717,0.0416,199.0,199.0,2179.6081730769233,true
test-507.points,256,87.6817,0.0362,198.0,198.0,2422.146408839779,true
test-508.points,256,76.5019,0.0406,198.0,198.0,1884.2832512315274,true
test-509.points,256,103.3624,0.0528,196.0,196.0,1957.621212121212,true
test-51.points,256,92.9416,0.0316,196.0,196.0,2941.189873417721,true
test-510.points,256,74.7366,0.0474,193.0,193.0,1576.7215189873418,true
test-511.points,256,80.5273,0.0361,200.0,200.0,2230.6731301939058,true
test-512.points,256,101.8728,0.0381,198.0,198.0,2673.8267716535433,true
test-513.points,256,75.189,0.0382,198.0,198.0,1968.2984293193717,true
test-514.points,256,84.3646,0.0367,195.0,195.0,2298.7629427792913,true
test-515.points,256,87.1098,0.038,196.0,196.0,2292.363157894737,true
test-516.points,256,93.1228,0.0273,198.0,198.0,3411.0915750915747,true
test-517.points,256,84.2954,0.0596,200.0,200.0,1414.3523489932886,true
test-518.points,256,83.8635,0.0572,197.0,197.0,1466.1451048951049,true
test-519.points,256,88.2392,0.0562,199.0,199.0,1570.0925266903914,true
test-52.points,256,77.8376,0.0311,197.0,197.0,2502.8167202572345,true
test-520.points,256,103.6416,0.0336,199.0,199.0,3084.5714285714284,true
test-521.points,256,85.7964,0.0456,198.0,198.0,1881.5,true
test-522.points,256,89.9208,0.039,196.0,196.0,2305.6615384615384,true
test-523.points,256,94.0761,0.0595,197.0,197.0,1581.1109243697479,true
test-524.points,256,80.7473,0.0483,199.0,199.0,1671.7867494824015,true
test-525.points,256,93.7052,0.0298,196.0,196.0,3144.4697986577185,true
test-526.points,256,77.2643,0.0464,200.0,200.0,1665.178879310345,true
test-527.points,256,93.1294,0.0422,197.0,197.0,2206.857819905213,true
test-528.points,256,85.0673,0.0269,198.0,198.0,3162.3531598513014,true
test-529.points,256,94.4398,0.0259,197.0,197.0,3646.3243243243246,true
test-53.points,256,73.5266,0.0618,199.0,199.0,1189.7508090614888,true
test-530.points,256,76.4134,0.0396,200.0,200.0,1929.631313131313,true
test-531.points,256,84.1341,0.0936,198.0,198.0,898.8685897435897,true
test-532.points,256,92.179,0.0344,199.0,199.0,2679.6220930232557,true
test-533.points,256,86.6583,0.0518,200.0,200.0,1672.9401544401544,true
test-534.points,256,92.6764,0.0475,199.0,199.0,1951.082105263158,true
test-535.points,256,85.5165,0.0334,199.0,199.0,2560.374251497006,true
test-536.points,256,82.66,0.0525,196.0,196.0,1574.4761904761904,true
test-537.points,256,92.5948,0.0298,196.0,196.0,3107.2080536912754,true
test-538.points,256,83.1931,0.0686,199.0,199.0,1212.7274052478135,true
test-539.points,256,105.2041,0.0315,198.0,198.0,3339.8126984126984,true
test-54.points,256,79.8394,0.0439,199.0,199.0,1818.6651480637813,true
test-540.points,256,93.5676,0.0405,197.0,197.0,2310.311111111111,true
test-541.points,256,78.1551,0.0345,199.0,199.0,2265.365217391304,true
test-542.points,256,102.0424,0.0304,198.0,198.0,3356.657894736842,true
test-543.points,256,96.5273,0.0422,199.0,199.0,2287.3767772511846,true
test-544.points,256,87.8766,0.0327,198.0,198.0,2687.3577981651374,true
test-545.points,256,92.144,0.0477,197.0,197.0,1931.7400419287212,true
test-546.points,256,90.7564,0.0998,197.0,197.0,909.3827655310621,true
test-547.points,256,83.3375,0.0285,198.0,198.0,2924.122807017544,true
test-548.points,256,81.5466,0.0436,198.0,198.0,1870.334862385321,true
test-549.points,256,102.9079,0.0334,198.0,198.0,3081.074850299401,true
test-55.points,256,76.2562,0.0423,198.0,198.0,1802.7470449172579,true
test-550.points,256,85.6813,0.0437,198.0,198.0,1960.6704805491988,true
test-551.points,256,90.1384,0.044,199.0,199.0,2048.6000000000004,true
test-552.points,256,103.0508,0.0349,197.0,197.0,2952.7449856733524,true
test-553.points,256,86.6106,0.0512,196.0,196.0,1691.61328125,true
test-554.points,256,110.7149,0.0413,197.0,197.0,2680.7481840193705,true
test-555.points,256,91.8389,0.0284,198.0,198.0,3233.764084507042,true
test-556.points,256,91.5599,0.0466,198.0,198.0,1964.8047210300429,true
test-557.points,256,88.8867,0.0528,198.0,198.0,1683.4602272727275,true
test-558.points,256,78.7913,0.0741,198.0,198.0,1063.310391363023,true
test-559.points,256,102.2217,0.0316,197.0,197.0,3234.8639240506327,true
test-56.points,256,116.1549,0.0237,197.0,197.0,4901.050632911392,true
test-560.points,256,89.6913,0.1125,199.0,199.0,797.256,true
test-561.points,256,85.7658,0.0591,197.0,197.0,1451.197969543147,true
test-562.points,256,85.6363,0.0389,199.0,199.0,2201.4473007712086,true
test-563.points,256,77.0733,0.0391,199.0,199.0,1971.1841432225062,true
test-564.points,256,91.1731,0.0311,196.0,196.0,2931.6109324758845,true
test-565.points,256,102.4833,0.0377,197.0,197.0,2718.3899204244035,true
test-566.points,256,89.2715,0.0247,197.0,197.0,3614.2307692307695,true
test-567.points,256,95.5342,0.0474,199.0,199.0,2015.4894514767934,true
test-568.points,256,78.682,0.0573,198.0,198.0,1373.1588132635254,true
test-569.points,256,87.4405,0.0413,199.0,199.0,2117.2033898305085,true
test-57.points,256,83.2593,0.0253,197.0,197.0,3290.881422924901,true
test-570.points,256,103.8936,0.0386,197.0,197.0,2691.544041450777,true
test-571.points,256,75.4819,0.036,199.0,199.0,2096.7194444444444,true
test-572.points,256,82.4765,0.0721,198.0,198.0,1143.9181692094314,true
test-573.points,256,94.4167,0.0292,198.0,198.0,3233.4486301369866,true
test-574.points,256,85.5387,0.0663,197.0,197.0,1290.1764705882354,true
test-575.points,256,93.8261,0.0444,196.0,196.0,2113.2004504504503,true
test-576.points,256,105.4945,0.0315,197.0,197.0,3349.031746031746,true
test-577.points,256,95.2155,0.0223,198.0,198.0,4269.7533632286995,true
test-578.points,256,76.0999,0.0389,195.0,195.0,1956.2956298200518,true
test-579.points,256,76.3781,0.0451,197.0,197.0,1693.5277161862527,true
test-58.points,256,91.7353,0.0274,197.0,197.0,3348.0036496350363,true
test-580.points,256,104.6032,0.0467,199.0,199.0,2239.89721627409,true
test-581.points,256,97.6908,0.0451,198.0,198.0,2166.0931263858092,true
test-582.points,256,85.215,0.0401,199.0,199.0,2125.062344139651,true
test-583.points,256,92.4095,0.0284,198.0,198.0,3253.8556338028166,true
test-584.points,256,81.6202,0.0373,196.0,196.0,2188.2091152815015,true
test-585.points,256,103.2878,0.0301,198.0,198.0,3431.4883720930234,true
test-586.points,256,97.279,0.0431,197.0,197.0,2257.0533642691416,true
test-587.points,256,97.1927,0.0386,198.0,198.0,2517.945595854922,true
test-588.points,256,98.0107,0.0337,198.0,198.0,2908.3293768545996,true
test-589.points,256,99.6644,0.0606,199.0,199.0,1644.6270627062706,true
test-59.points,256,100.5035,0.0495,199.0,199.0,2030.3737373737374,true
test-590.points,256,89.8121,0.027,197.0,197.0,3326.374074074074,true
test-591.points,256,86.4658,0.0349,198.0,198.0,2477.5300859598856,true
test-592.points,256,104.4774,0.1432,196.0,196.0,729.5907821229051,true
test-593.points,256,81.9704,0.0689,197.0,197.0,1189.7010159651668,true
test-594.points,256,80.2971,0.0384,198.0,198.0,2091.0703125,true
test-595.points,256,94.892,0.0437,197.0,197.0,2171.441647597254,true
test-596.points,256,101.3921,0.0452,197.0,197.0,2243.1880530973453,true
test-597.points,256,94.6484,0.027,199.0,199.0,3505.4962962962964,true
test-598.points,256,85.0146,0.0341,199.0,199.0,2493.0967741935488,true
test-599.points,256,98.5039,0.0921,200.0,200.0,1069.5320304017373,true
test-6.points,256,85.9901,0.0292,197.0,197.0,2944.8664383561645,true
test-60.points,256,82.8209,0.0427,197.0,197.0,1939.599531615925,true
test-600.points,256,85.6981,0.0387,198.0,198.0,2214.421188630491,true
test-601.points,256,78.9418,0.0704,200.0,200.0,1121.3323863636363,true
test-602.points,256,114.4047,0.0505,198.0,198.0,2265.439603960396,true
test-603.points,256,81.1812,0.0245,199.0,199.0,3313.5183673469387,true
test-604.points,256,89.0798,0.0457,199.0,199.0,1949.2297592997813,true
test-605.points,256,85.3886,0.0453,198.0,198.0,1884.9580573951434,true
test-606.points,256,87.1497,0.0424,199.0,199.0,2055.4174528301887,true
test-607.points,256,92.5046,0.038,196.0,196.0,2434.3315789473686,true
test-608.points,256,83.0004,0.0494,195.0,195.0,1680.17004048583,true
test-609.points,256,92.4201,0.0354,200.0,200.0,2610.737288135593,true
test-61.points,256,83.4242,0.0383,198.0,198.0,2178.177545691906,true
test-610.points,256,86.6118,0.0615,198.0,198.0,1408.3219512195124,true
test-611.points,256,73.8525,0.0456,195.0,195.0,1619.5723684210527,true
test-612.points,256,76.8577,0.0461,198.0,198.0,1667.1952277657265,true
test-613.points,256,85.0909,0.0434,198.0,198.0,1960.6198156682028,true
test-614.points,256,95.0593,0.0308,198.0,198.0,3086.3409090909086,true
test-615.points,256,76.9104,0.0411,197.0,197.0,1871.2992700729926,true
test-616.points,256,98.1588,0.0291,198.0,198.0,3373.1546391752577,true
test-617.points,256,86.9555,0.0333,196.0,196.0,2611.276276276276,true
test-618.points,256,92.373,0.0282,198.0,198.0,3275.6382978723404,true
test-619.points,256,80.5689,0.0235,197.0,197.0,3428.463829787234,true
test-62.points,256,96.3564,0.0751,198.0,198.0,1283.0412782956057,true
test-620.points,256,89.367,0.0697,199.0,199.0,1282.1664275466285,true
test-621.points,256,87.3089,0.0307,195.0,195.0,2843.9381107491854,true
test-622.points,256,83.8264,0.0696,199.0,199.0,1204.4022988505749,true
test-623.points,256,97.0676,0.0413,199.0,199.0,2350.3050847457625,true
test-624.points,256,90.9962,0.0336,197.0,197.0,2708.2202380952385,true
test-625.points,256,84.0909,0.0306,198.0,198.0,2748.068627450981,true
test-626.points,256,82.6912,0.0421,200.0,200.0,1964.1615201900238,true
test-627.points,256,79.7388,0.0343,199.0,199.0,2324.746355685131,true
test-628.points,256,78.3223,0.0451,195.0,195.0,1736.6363636363635,true
test-629.points,256,95.1877,0.0427,198.0,198.0,2229.2201405152227,true
test-63.points,256,84.5158,0.0527,198.0,198.0,1603.7153700189754,true
test-630.points,256,80.8038,0.0298,198.0,198.0,2711.536912751678,true
test-631.points,256,76.9888,0.0335,198.0,198.0,2298.173134328358,true
test-632.points,256,104.1596,0.0385,199.0,199.0,2705.444155844156,true
test-633.points,256,76.5273,0.0228,198.0,198.0,3356.460526315789,true
test-634.points,256,88.3489,0.0281,198.0,198.0,3144.08896797153,true
test-635.points,256,97.2912,0.0751,200.0,200.0,1295.4886817576564,true
test-636.points,256,103.2024,0.0393,199.0,199.0,2626.0152671755723,true
test-637.points,256,86.7835,0.139,199.0,199.0,624.341726618705,true
